exchange     symbol               timeframe  start_date_utc            method        
binance      AEVO/USDC            1h         2025-09-30T08:00:00.000Z  since_zero    
binance      ME/USDC              1h         2025-09-30T08:00:00.000Z  since_zero    
binance      SNX/USDC             1h         2025-09-30T08:00:00.000Z  since_zero    
binance      EDEN/USDC            1h         2025-09-30T11:00:00.000Z  since_zero    
binance      NOM/USDC             1h         2025-10-01T08:00:00.000Z  since_zero    
binance      2Z/USDC              1h         2025-10-02T13:00:00.000Z  since_zero    
binance      MORPHO/USDC          1h         2025-10-03T15:00:00.000Z  since_zero    
binance      ASTER/USDC           1h         2025-10-06T12:00:00.000Z  since_zero    
binance      WAL/USDC             1h         2025-10-10T07:00:00.000Z  since_zero    
binance      EUL/USDC             1h         2025-10-13T14:00:00.000Z  since_zero    
binance      ENSO/USDC            1h         2025-10-14T09:00:00.000Z  since_zero    
binance      YB/USDC              1h         2025-10-15T11:00:00.000Z  since_zero    
binance      ZBT/USDC             1h         2025-10-17T13:00:00.000Z  since_zero    
binance      TURTLE/USDC          1h         2025-10-22T15:00:00.000Z  since_zero    
binance      GIGGLE/USDC          1h         2025-10-25T06:00:00.000Z  since_zero    
binance      F/USDC               1h         2025-10-25T06:00:00.000Z  since_zero    
binance      KITE/USDC            1h         2025-11-03T13:00:00.000Z  since_zero    
binance      MMT/USDC             1h         2025-11-04T12:00:00.000Z  since_zero    
binance      DASH/USDC            1h         2025-11-05T08:00:00.000Z  since_zero    
binance      SAPIEN/USDC          1h         2025-11-06T10:00:00.000Z  since_zero    
binance      MINA/USDC            1h         2025-11-11T08:00:00.000Z  since_zero    
binance      XVG/USDC             1h         2025-11-11T08:00:00.000Z  since_zero    
binance      ALLO/USDC            1h         2025-11-11T14:00:00.000Z  since_zero    
binance      SOLV/USDC            1h         2025-11-13T08:00:00.000Z  since_zero    
binance      USD1/USDC            1h         2025-11-13T08:00:00.000Z  since_zero    
binance      BANK/USDC            1h         2025-11-13T14:00:00.000Z  since_zero    
binance      MET/USDC             1h         2025-11-13T14:00:00.000Z  since_zero    
binance      1INCH/USDC           1h         2025-11-18T08:00:00.000Z  since_zero    
binance      COTI/USDC            1h         2025-11-18T08:00:00.000Z  since_zero    
binance      LSK/USDC             1h         2025-11-18T08:00:00.000Z  since_zero    
binance      AT/USDC              1h         2025-11-27T14:00:00.000Z  since_zero    
binance      DYM/USDC             1h         2025-12-04T08:00:00.000Z  since_zero    
binance      LUNA/USDC            1h         2025-12-24T08:00:00.000Z  since_zero    
binance      LUNC/USDC            1h         2025-12-24T08:00:00.000Z  since_zero    
binance      BREV/USDC            1h         2026-01-06T14:00:00.000Z  since_zero    
binance      币安人生/USDC            1h         2026-01-07T14:00:00.000Z  since_zero    
binance      ZKP/USDC             1h         2026-01-07T14:00:00.000Z  since_zero    
binance      U/USDC               1h         2026-01-13T08:00:00.000Z  since_zero    
binance      FOGO/USDC            1h         2026-01-15T14:00:00.000Z  since_zero    
binance      SENT/USDC            1h         2026-01-22T13:00:00.000Z  since_zero    
binance      ZAMA/USDC            1h         2026-02-02T13:00:00.000Z  since_zero    
binance      ESP/USDC             1h         2026-02-12T13:00:00.000Z  since_zero    
binance      MANTRA/USDC          1h         2026-03-04T08:00:00.000Z  probe_search  
binance      ROBO/USDC            1h         2026-03-04T16:00:00.000Z  probe_search  
binance      OPN/USDC             1h         2026-03-05T13:00:00.000Z  probe_search  
binance      NIGHT/USDC           1h         2026-03-11T15:00:00.000Z  probe_search  
binance      CFG/USDC             1h         2026-03-16T13:00:00.000Z  probe_search  
binance      KAT/USDC             1h         2026-03-18T13:00:00.000Z  probe_search  
binance      XAUT/USDC            1h         2026-03-26T14:00:00.000Z  probe_search  
binance      CHIP/USDC            1h         2026-04-21T13:00:00.000Z  probe_search  
binance      MEGA/USDC            1h         2026-04-30T11:00:00.000Z  probe_search  
binance      AIGENSYN/USDC        1h         2026-05-14T17:00:00.000Z  probe_search  
